claim_id,claim_text,claim_location,evidence_class,evidence_path,configuration_path,assumptions,reproducibility_status,falsification_test,gate_status,required_action
"CLM-011","The bounded SEC-DAEC policy silently miscorrects 302/2556 doubles and 53/63 adjacent pairs and is rejected.","MULTI_ECC_FRAMEWORK_REPORT.md:42","SIMULATED","MULTI_ECC_FRAMEWORK_REPORT.md:42 -> multi_ecc_evaluation/verification/secdaec-rtl-bounded-72-64-v1.json -> green_ecc_phy/verification.py plus asic/rtl/secdaec/secdaec_codec.sv -> registry/implementations/secdaec-rtl-bounded-72-64-v1.json","green_ecc_physical_simulation/registry/implementations/secdaec-rtl-bounded-72-64-v1.json","Existing logical-coordinate mask universe; physical adjacency not established.","PARTIAL: explicit existing counterexamples; isolated full framework blocked","Gate 02 reproduce all masks and RTL/reference equivalence under a stable identity contract.","CONDITIONAL PASS","Retain negative result; exclude implementation from every selector."
"CLM-012","Physical objectives are null, so no physical winner, PPA comparison, or measured adaptive break-even is computable.","README.md:10","DERIVED","README.md:10 -> framework_summary.json and physical_selection.json -> multi_ecc_evaluation/characterization/*.json -> green_ecc_phy/backends.py -> registry/backends/*.json","green_ecc_physical_simulation/registry/scenarios/no-physical-selection-v1.json","Null is absence of evidence, not zero cost.","REPRODUCIBLE by direct record inspection; generation not reproduced","Supply complete PDK/library/corner/constraints/activity/SRAM data and require non-null raw-backed metrics.","PASS","Keep this negative limitation prominent."
"CLM-013","All physical area, timing, energy, routing, controller, transition, and re-encoding objectives remain null.","GREEN_ECC_PHY_TECHNICAL_GUIDE.md:16","DERIVED","GREEN_ECC_PHY_TECHNICAL_GUIDE.md:16 -> framework_summary.json -> characterization/*.json -> backends.py -> backend manifests","green_ecc_physical_simulation/registry/backends/structural-yosys-local-v1.json","Generic Yosys counts are structural proxies only.","REPRODUCIBLE by committed-record inspection","Audit every characterization field and reject any proxy-filled physical field.","PASS","Preserve nulls until raw physical evidence exists."
"CLM-014","A physical Pareto frontier is not computable.","docs/PARETO_AND_SELECTION.md:104","DERIVED","docs/PARETO_AND_SELECTION.md:104 -> physical_selection.json -> characterization/*.json -> green_ecc_phy/comparison.py -> no-physical-selection-v1.json","green_ecc_physical_simulation/registry/scenarios/no-physical-selection-v1.json","All required physical objectives are null.","REPRODUCIBLE by inspection and targeted Pareto tests (10 passed)","Inject only valid physical records in a test fixture and require frontier creation; current records must return null winner.","PASS","Do not plot proxy points as a physical frontier."
"CLM-015","Five implementations win regions of the 192-cell analytical grid.","MULTI_ECC_FRAMEWORK_REPORT.md:63","SIMULATED","MULTI_ECC_FRAMEWORK_REPORT.md:63 -> software_study_summary.json -> scenario_selection_results.json -> green_ecc_phy/study.py -> software-simulation-study-v1.json","green_ecc_physical_simulation/registry/scenarios/software-simulation-study-v1.json","Lexicographic winner uses analytical energy and structural proxies after assumed reliability constraints.","PARTIAL: committed records agree; pipeline blocked in isolated checkout","Regenerate after Gate 02 and compare exact winner frequency from unique scenario rows.","CONDITIONAL PASS","Label as legacy analytical-model outcome, not physical evidence."
"CLM-016","Conventional SECDED, Hsiao, and strongest shortened BCH have mean analytical regret of 2.499%, 0.459%, and 21.937% on their comparable scenarios.","MULTI_ECC_FRAMEWORK_REPORT.md:69","DERIVED","MULTI_ECC_FRAMEWORK_REPORT.md:69 -> pareto_and_regret.json and software_study_summary.json -> scenario_selection_results.json -> green_ecc_phy/study.py -> software-simulation-study-v1.json","green_ecc_physical_simulation/registry/scenarios/software-simulation-study-v1.json","Legacy regret denominator/baseline differs from the frozen H1 equation; inputs are analytical and feasibility-conditioned.","PARTIAL: committed calculations are traceable but not independently regenerated","Recompute using the contract equation, fixed canonical baseline, full distribution, exclusions, BCa intervals, and practical-effect rule.","CONDITIONAL PASS","Do not use as H1 evidence; present only as prior analytical diagnostic."
"CLM-017","The logic-dominated sensitivity case preserves 190/192 winner identities; base and storage-dominated preserve 192/192.","MULTI_ECC_FRAMEWORK_REPORT.md:71","DERIVED","MULTI_ECC_FRAMEWORK_REPORT.md:71 -> uncertainty_and_sensitivity.json -> scenario_selection_results.json -> green_ecc_phy/study.py -> software-simulation-study-v1.json","green_ecc_physical_simulation/registry/scenarios/software-simulation-study-v1.json","Three deterministic parameter scalings are not statistical uncertainty or calibrated bounds.","PARTIAL","Reproduce all rows, add sourced uncertainty distributions, and report ranking instability rather than 'robustness' alone.","CONDITIONAL PASS","Call this a three-case sensitivity result only."
"CLM-018","The gross analytical oracle advantage is 0.0111846515 J and bounds a hypothetical adaptive overhead.","MULTI_ECC_FRAMEWORK_REPORT.md:80","DERIVED","MULTI_ECC_FRAMEWORK_REPORT.md:80 -> uncertainty_and_sensitivity.json -> scenario_selection_results.json -> green_ecc_phy/study.py -> software-simulation-study-v1.json","green_ecc_physical_simulation/registry/scenarios/software-simulation-study-v1.json","Aggregate depends on analytical energy and comparable-grid definition; no controller, transition, or re-encoding measurement.","PARTIAL","Implement and characterize all transition costs; compare on a frozen workload horizon.","CONDITIONAL PASS","Never call this an actual or measured break-even."
"CLM-019","Operational carbon equals analytical energy times a within-scenario carbon-intensity scalar.","docs/ENERGY_AND_CARBON_MODELS.md:55","DERIVED","docs/ENERGY_AND_CARBON_MODELS.md:55 -> figure_data/reliability_carbon_pareto_analytical.json -> scenario_selection_results.json -> green_ecc_phy/study.py -> software-simulation-study-v1.json","green_ecc_physical_simulation/registry/scenarios/software-simulation-study-v1.json","CI is constant across candidates within a scenario; therefore carbon ordering is identical to energy ordering.","REPRODUCIBLE by equation and configuration inspection","For every scenario verify positive constant CI and compare energy/carbon rank vectors exactly.","CONDITIONAL PASS","Declare current carbon objective redundant; do not claim independent carbon optimization."
"CLM-020","Embodied carbon is unavailable because implementation-specific physical area is unavailable.","docs/ENERGY_AND_CARBON_MODELS.md:63","DERIVED","docs/ENERGY_AND_CARBON_MODELS.md:63 -> framework_summary.json and characterization/*.json -> backends.py -> backend manifests","UNRESOLVED","Manufacturing factors in legacy defaults are placeholders and no allocation/yield/lifetime evidence is connected.","REPRODUCIBLE negative finding","Require raw physical area, sourced manufacturing intensities, allocation, yield, lifetime, amortization, and uncertainty.","PASS","Keep embodied carbon out of objectives until evidence is complete."
"CLM-021","Historical 27% energy and 19% carbon reductions are not supported by the current pipeline.","docs/LIMITATIONS_AND_VALID_CLAIMS.md:49","UNRESOLVED","UNRESOLVED: no complete table/figure -> processed data -> raw output -> script -> configuration -> model-input chain was found","UNRESOLVED","Prior headline values are explicitly treated as unverified.","NOT_REPRODUCIBLE","Locate the originating raw records and reproduce from the frozen source and inputs; otherwise the values must remain absent.","FAIL","Remove the percentages from any submission claim, abstract, table, or figure."
"CLM-022","No historical 27% energy or 19% carbon claim is supported by the regenerated study.","GREEN_ECC_PHY_TECHNICAL_GUIDE.md:282","UNRESOLVED","UNRESOLVED: current framework_summary.json contradicts rather than reproduces the historical values","UNRESOLVED","Absence of a provenance chain is decisive for publication use.","REPRODUCIBLE negative finding","Demand a complete independently checkable chain for each percentage.","PASS","Retain only the disavowal."
"CLM-023","The original 189-scenario construction could not be located.","docs/model_audit.md:53","UNRESOLVED","UNRESOLVED: claim-search inventory finds mentions but no generating configuration/raw scenario table linked to 189","UNRESOLVED","The current 192-cell grid is a different construction and cannot reconcile 189 automatically.","NOT_REPRODUCIBLE","Recover the exact 189 scenario IDs and producer/configuration or withdraw the result.","FAIL","Remove every 189-scenario result from the submission."
"CLM-024","The Qcrit input file is unverified example data and cannot validate 14 nm/PVT claims.","docs/model_audit.md:29","ASSUMED","docs/model_audit.md:29 -> data/qcrit_sram6t.json","data/qcrit_sram6t.json","File contains example.org and Your Lab / University provenance strings; no device/corner calibration.","REPRODUCIBLE negative finding","Require identifiable device/process source, measurement/simulation method, PVT, uncertainty, and independent validation.","FAIL","Remove absolute 14 nm/FIT claims; use only clearly labelled sensitivity inputs."
"CLM-025","14 nm hardware, measured, and synthesized claims are unsupported in the audited evidence.","docs/model_audit.md:45","UNRESOLVED","UNRESOLVED: no linked Liberty/PDK/SDC/netlist/P&R/power/measurement raw outputs; baseline/22_static_inventory.log finds no physical collateral","UNRESOLVED","Generic structural synthesis is not physical characterization.","REPRODUCIBLE negative finding","Produce raw flow outputs with tool/library/corner/constraint/activity provenance or hardware campaign records.","FAIL","Remove 14 nm, measured, and physical-PPA wording."
"CLM-026","Fault profiles are uncalibrated sensitivity distributions, not measured SER or radiation spectra.","docs/LIMITATIONS_AND_VALID_CLAIMS.md:31","ASSUMED","docs/LIMITATIONS_AND_VALID_CLAIMS.md:31 -> software-simulation-study-v1.json -> green_ecc_phy/study.py","green_ecc_physical_simulation/registry/scenarios/software-simulation-study-v1.json","Per-access class probabilities are explicit but lack silicon/radiation calibration.","REPRODUCIBLE negative finding","Trace each PMF to measurement/source and uncertainty; compare predicted and observed distributions.","PASS","Restrict conclusions to conditional sensitivity/coverage."
"CLM-027","The Hazucha-style FIT path is an analytical fitted model, not a radiation measurement.","docs/RELIABILITY_AND_ERROR_MODELS.md:59","DERIVED","docs/RELIABILITY_AND_ERROR_MODELS.md:59 -> ser_model.py::ser_hazucha -> carbon/qcrit and user inputs","data/qcrit_sram6t.json","C, flux, sensitive area, Qcrit, Qs, altitude and latitude inputs are not calibrated for the target implementation.","PARTIAL: equation exists; target-technology validation unresolved","Compare model outputs against a documented radiation/device dataset across PVT with uncertainty.","CONDITIONAL PASS","No absolute FIT headline until calibration and complete mapping/scrub chain exist."
"CLM-028","Adjacent/non-adjacent MBU presets are tunable analytical probabilities rather than silicon-derived data.","docs/RELIABILITY_AND_ERROR_MODELS.md:71","ASSUMED","docs/RELIABILITY_AND_ERROR_MODELS.md:71 -> mbu.py and software-simulation-study-v1.json","green_ecc_physical_simulation/registry/scenarios/software-simulation-study-v1.json","Logical consecutive coordinates are used; physical cell geometry/interleaving is absent.","REPRODUCIBLE negative finding","Bind physical layout/mapping and measured or sourced MBU spatial distributions; test sensitivity to mappings.","PASS","Do not describe logical adjacency as physical adjacency."
"CLM-029","The current study uses Pareto analysis for audit and a deterministic lexicographic winner, not an evolutionary optimizer.","docs/PARETO_AND_SELECTION.md:3","DERIVED","docs/PARETO_AND_SELECTION.md:3 -> pareto_and_regret.json and scenario_selection_results.json -> green_ecc_phy/study.py and pareto_validation.py -> software-simulation-study-v1.json","green_ecc_physical_simulation/registry/scenarios/software-simulation-study-v1.json","Current candidate count is 15 selectable implementations per 192 scenarios; mapping/interleaving dimensions are not enumerated.","REPRODUCIBLE by code/result inspection and 10 passing targeted Pareto tests","Enumerate all candidates exactly and compare implementation output to an independent brute-force dominance oracle.","PASS","Do not claim NSGA-II is used or needed."
"CLM-030","Hypervolume is a documentation audit metric and does not choose the winner.","docs/PARETO_AND_SELECTION.md:74","DERIVED","docs/PARETO_AND_SELECTION.md:74 -> docs/figure_data/reliability_cost_pareto_analytical.json -> scripts/generate_documentation_figures.py -> scenario_selection_results.json","green_ecc_physical_simulation/registry/scenarios/software-simulation-study-v1.json","Reference point is data-derived at 5% worse than plotted maxima; unsuitable for cross-study comparison.","PARTIAL: targeted tests pass; documentation check reports stale generated files","Change the reference point and verify no selector result changes; rebuild docs from stable checkout.","CONDITIONAL PASS","Keep out of contribution claims unless a fixed preregistered reference is justified."
"CLM-031","The independent documentation implementation checks all 192 recorded analytical frontiers.","GREEN_ECC_PHY_TECHNICAL_GUIDE.md:262","SIMULATED","GREEN_ECC_PHY_TECHNICAL_GUIDE.md:262 -> docs/figure_data/reliability_cost_pareto_analytical.json -> scripts/generate_documentation_figures.py and pareto_validation.py -> scenario_selection_results.json","green_ecc_physical_simulation/registry/scenarios/software-simulation-study-v1.json","Checks committed analytical records; does not validate physical comparability.","PARTIAL: targeted Pareto tests 10/10 pass; documentation reproducibility check fails stale-file check","Regenerate every figure-data file from the frozen inputs and compare all frontier memberships.","CONDITIONAL PASS","Resolve stale generated documentation before reuse."
"CLM-032","Current architecture manifests describe configurable/adaptive obligations but do not measure their physical costs.","GREEN_ECC_PHY_TECHNICAL_GUIDE.md:96","PROXY","GREEN_ECC_PHY_TECHNICAL_GUIDE.md:96 -> registry/architectures/*.json and framework_summary.json","green_ecc_physical_simulation/registry/architectures/adaptive-shared-page-v1.json","Manifest fields and reference controllers are not a deployment implementation; migration/re-encoding is absent.","REPRODUCIBLE negative finding","Demonstrate codeword compatibility, metadata, state transition, migration/re-encoding, failure handling, and raw overhead reports.","NOT IMPLEMENTED","Do not claim runtime adaptation."
"CLM-033","The local rebuild has an environment-specific Windows runtime-order error and unreadable Verilator launcher.","GREEN_ECC_PHY_TECHNICAL_GUIDE.md:120","UNRESOLVED","GREEN_ECC_PHY_TECHNICAL_GUIDE.md:120 -> eccsim.py doctor --json -> environment PATH/tool installations","docs/date2027/rigour_gate_01/baseline/04_doctor.log","python and python3 resolve to different runtimes; libstdc++ resolution points to GNUPlot before compiler runtime.","REPRODUCIBLE in audited environment","Run doctor in the declared publication container and require one interpreter/toolchain identity and readable required tools.","FAIL","Freeze a portable environment/container and dependency lock before experiments."
"CLM-034","The committed documentation outputs are reproducible from their generator in check mode.","GREEN_ECC_PHY_TECHNICAL_GUIDE.md:152","UNRESOLVED","GREEN_ECC_PHY_TECHNICAL_GUIDE.md:152 -> docs/figure_data/* -> scripts/build_documentation.py and scripts/generate_documentation_figures.py -> multi_ecc_evaluation outputs","green_ecc_physical_simulation/registry/scenarios/software-simulation-study-v1.json","The isolated check reports seven stale CSV files; CRLF conversion may contribute but the check still fails.","NOT_REPRODUCIBLE","Run the check in a checkout with canonical byte normalization and require zero stale outputs without rewriting source results.","FAIL","Do not claim clean documentation reproducibility until the check passes."
"CLM-035","GREEN-ECC currently supports no measured physical PPA, silicon reliability, radiation validation, technology independence, measured adaptive overhead, or physical winner.","README.md:15","UNRESOLVED","README.md:15 -> framework_summary.json, physical_selection.json, characterization/*.json, baseline/22_static_inventory.log","UNRESOLVED","The statement is a negative evidence boundary supported by absence/null records, not proof that no external evidence could exist.","REPRODUCIBLE within repository scope","Add any claimed external raw artifact to a declared immutable dataset manifest and require ledger linkage.","PASS","Keep the negative boundary; never shorten it into a positive validation claim."
