claim_id,manuscript_claim,metric,value,unit,evidence_level,qualification_boundary,source_path,source_sha256,derivation,generator
C04er,Seed range and Hsiao-lower count for w2 detect.,range_and_lower_count_read_double_bit_error_detect,"[+0.029813964,+0.355445339];0/4",pJ/op;count,E5,four full-timing-clean seeds; ECC logic only,campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/GREEN_V3_3_ADDITIVE_MATRIX.json|campaigns/iscas_sustainability_extension/green_v3_2_matched_openram_orfs_validation/PHYSICAL_RUN_RESULTS.csv,f604c397276c4ccf7773af1bf9e6765bbd1a8ccb1c2d03c96cbedb318ccf7fb6|fd3a4adae99f73dd887cea2fe5ad1581419ea7d57f8f221ce1fbf68742e12f2d,min/max paired delta; count(delta<0),paper/iscas2027/scripts/build_artifacts.py
C05,Mean Hsiao standard-cell-area delta in the primary cohort.,standard_cell_area_delta,+222.375000,um^2,E4,routed wrapper/logic plus macro interfaces; macro area excluded,campaigns/iscas_sustainability_extension/green_v3_2_matched_openram_orfs_validation/PHYSICAL_RUN_RESULTS.csv,fd3a4adae99f73dd887cea2fe5ad1581419ea7d57f8f221ce1fbf68742e12f2d,mean paired Hsiao-minus-conventional delta,paper/iscas2027/scripts/build_artifacts.py
C05b,Mean Hsiao routed-wire delta in the primary cohort.,routed_wirelength_delta,+2868.000000,um,E4,routed wrapper/logic plus macro interfaces,campaigns/iscas_sustainability_extension/green_v3_2_matched_openram_orfs_validation/PHYSICAL_RUN_RESULTS.csv,fd3a4adae99f73dd887cea2fe5ad1581419ea7d57f8f221ce1fbf68742e12f2d,mean paired Hsiao-minus-conventional delta,paper/iscas2027/scripts/build_artifacts.py
C05c,Mean Hsiao via-count delta in the primary cohort.,via_count_delta,+449.250000,vias,E4,routed wrapper/logic plus macro interfaces,campaigns/iscas_sustainability_extension/green_v3_2_matched_openram_orfs_validation/PHYSICAL_RUN_RESULTS.csv,fd3a4adae99f73dd887cea2fe5ad1581419ea7d57f8f221ce1fbf68742e12f2d,mean paired Hsiao-minus-conventional delta,paper/iscas2027/scripts/build_artifacts.py
C06,Mean Hsiao setup-slack delta in the primary cohort.,setup_wns_delta,+0.218209000,ns,E4,10 ns target; four full-timing-clean seeds,campaigns/iscas_sustainability_extension/green_v3_2_matched_openram_orfs_validation/PHYSICAL_RUN_RESULTS.csv,fd3a4adae99f73dd887cea2fe5ad1581419ea7d57f8f221ce1fbf68742e12f2d,mean paired Hsiao-minus-conventional delta,paper/iscas2027/scripts/build_artifacts.py
C07,The routed BCH identity is setup-clean in 0/5 seeds at 10 ns.,bch_setup_clean_count,0,of 5 seeds,E4,one named unpipelined BCH wrapper identity,campaigns/iscas_sustainability_extension/green_v3_2_matched_openram_orfs_validation/PHYSICAL_RUN_RESULTS.csv|campaigns/iscas_sustainability_extension/green_v3_2_matched_openram_orfs_validation/ARCHITECTURE_AUDIT.json,fd3a4adae99f73dd887cea2fe5ad1581419ea7d57f8f221ce1fbf68742e12f2d|13cf9bfc60dda5d813073e13447b2f0a78ac5000637bb354264522f8a76cdb6f,count(setup_wns_ns >= 0),paper/iscas2027/scripts/build_artifacts.py
C08,Mean BCH setup WNS is -11.112 ns at the 10 ns target.,bch_mean_setup_wns,-11.112000000,ns,E4,five routed seeds; one named unpipelined BCH identity,campaigns/iscas_sustainability_extension/green_v3_2_matched_openram_orfs_validation/PHYSICAL_RUN_RESULTS.csv,fd3a4adae99f73dd887cea2fe5ad1581419ea7d57f8f221ce1fbf68742e12f2d,arithmetic mean over five seeds,paper/iscas2027/scripts/build_artifacts.py
C09,Hsiao seed 11 is hold-incomplete with negative WNS.,hsiao_min_hold_wns,-0.013747700,ns,E4,10 ns target; five routed seeds,campaigns/iscas_sustainability_extension/green_v3_2_matched_openram_orfs_validation/PHYSICAL_RUN_RESULTS.csv,fd3a4adae99f73dd887cea2fe5ad1581419ea7d57f8f221ce1fbf68742e12f2d,minimum hold WNS,paper/iscas2027/scripts/build_artifacts.py
C10,The additive campaign contains 46 E5 records.,campaign_e5_record_count,46,records,E5,ECC logic; includes partial-operation seed 11,campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/GREEN_V3_3_ADDITIVE_MATRIX.json,f604c397276c4ccf7773af1bf9e6765bbd1a8ccb1c2d03c96cbedb318ccf7fb6,length(records),paper/iscas2027/scripts/build_artifacts.py
C11,All 72 required SRAM-output activity roots are annotated.,annotated_required_root_count,72,roots,E5,post-route zero-delay routed-netlist VCD boundary,campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/CAMPAIGN_STATUS.json|campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/RUN_MANIFEST.json,af7caad2e1cb2e577c88f7fe184a9c76bb56c099b12479d15a11b9fa12f72d71|5b1b42351eeb092bb59381443e980ee768d518a8b2ed519fa5ac57f930497999,campaign status field,paper/iscas2027/scripts/build_artifacts.py
C12,Each qualified record uses 256 measured operations.,measured_operation_count,256,operations/record,E5,after the recorded warm-up interval,campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/RUN_MANIFEST.json|campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/WORKLOAD_MANIFEST.json,5b1b42351eeb092bb59381443e980ee768d518a8b2ed519fa5ac57f930497999|d453a2ab3400cb4962f34f34184660d4be877841230e55d541518e499ab49255,unique exact_operation_count across the primary workload cohort,paper/iscas2027/scripts/build_artifacts.py
C13,Every retained physical record reports zero route-DRC errors.,route_drc_error_sum,0,errors across 40 records,E4,final route reports; not independent foundry signoff,campaigns/iscas_sustainability_extension/green_v3_2_matched_openram_orfs_validation/PHYSICAL_RUN_RESULTS.csv,fd3a4adae99f73dd887cea2fe5ad1581419ea7d57f8f221ce1fbf68742e12f2d,sum(route_drc_errors); count(rows),paper/iscas2027/scripts/build_artifacts.py
C14,"The physical population spans four architectures, two targets, and five seeds.",physical_population_shape,4x2x5=40,architectures x targets x seeds = records,E4,matched routed population,campaigns/iscas_sustainability_extension/green_v3_2_matched_openram_orfs_validation/PHYSICAL_RUN_RESULTS.csv|campaigns/iscas_sustainability_extension/green_v3_2_matched_openram_orfs_validation/ARCHITECTURE_AUDIT.json,fd3a4adae99f73dd887cea2fe5ad1581419ea7d57f8f221ce1fbf68742e12f2d|13cf9bfc60dda5d813073e13447b2f0a78ac5000637bb354264522f8a76cdb6f,"count unique architecture, clock, seed and rows",paper/iscas2027/scripts/build_artifacts.py
C15,Setup-clean seed counts at 10 ns for the four architecture identities.,setup_clean_counts_10ns,U0:5/5;SECDED:5/5;HSIAO_SECDED:5/5;BCH_78_64_T2:0/5,seeds,E4,one named identity per architecture at 10 ns,campaigns/iscas_sustainability_extension/green_v3_2_matched_openram_orfs_validation/PHYSICAL_RUN_RESULTS.csv,fd3a4adae99f73dd887cea2fe5ad1581419ea7d57f8f221ce1fbf68742e12f2d,count(setup_wns_ns>=0) by architecture,paper/iscas2027/scripts/build_artifacts.py
C16,Named RTL dimensions and recorded correctness proof/regression boundaries.,correctness_population,"SECDED:72/64 W1C W2D;HSIAO:72/64 W1C W2D;BCH:78/64 t2 W1-2C,3082 proofs",bits;proof obligations,E3,named RTL only; no field-rate inference,campaigns/iscas_sustainability_extension/green_v3_2_matched_openram_orfs_validation/ARCHITECTURE_AUDIT.json,13cf9bfc60dda5d813073e13447b2f0a78ac5000637bb354264522f8a76cdb6f,architecture-audit record fields and formal-evidence text,paper/iscas2027/scripts/build_artifacts.py
C17,Activity records use 16 warm-up cycles.,warmup_cycles,16,cycles/record,E5,before the measured interval,campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/WORKLOAD_MANIFEST.json,d453a2ab3400cb4962f34f34184660d4be877841230e55d541518e499ab49255,unique warm_up_cycles across the primary workload cohort,paper/iscas2027/scripts/build_artifacts.py
C18,Physical analysis corner and targets.,physical_conditions,"TT;25;1.80;5,10",corner;degC;V;ns,E4,pinned SKY130HD flow,campaigns/iscas_sustainability_extension/green_v3_3_activity_complete_e5/RUN_MANIFEST.json|campaigns/iscas_sustainability_extension/green_v3_2_matched_openram_orfs_validation/PHYSICAL_RUN_RESULTS.csv,5b1b42351eeb092bb59381443e980ee768d518a8b2ed519fa5ac57f930497999|fd3a4adae99f73dd887cea2fe5ad1581419ea7d57f8f221ce1fbf68742e12f2d,manifest and unique target values,paper/iscas2027/scripts/build_artifacts.py
C19,Inherited SRAM22 macro organization.,macro_dimensions,256x64;256x8,words x bits,E4_BOUNDARY,inherited LEF/GDS/Liberty; incomplete macro energy and independent signoff,campaigns/iscas_sustainability_extension/green_v3_2_matched_openram_orfs_validation/ARCHITECTURE_AUDIT.json,13cf9bfc60dda5d813073e13447b2f0a78ac5000637bb354264522f8a76cdb6f,architecture-audit sram_interface fields,paper/iscas2027/scripts/build_artifacts.py
